Orthogroup	SP803280_proteinas	Saccharum_officinarum_LA_Purple.protein	Saccharum_spontaneum_AP85-441.protein	Saccharum_spontaneum_NpX.protein	sorgo_proteinas	Total
OG0000607	75	3	0	0	0	78
OG0000608	60	9	2	6	1	78
OG0000609	58	1	1	17	1	78
OG0000610	50	18	2	6	2	78
OG0000611	61	8	1	7	1	78
OG0000612	62	0	2	1	12	77
OG0000613	61	8	1	6	1	77
OG0000614	63	3	4	6	1	77
OG0000615	62	7	3	4	1	77
OG0000616	60	11	3	2	1	77
OG0000617	54	13	2	7	1	77
OG0000618	33	39	1	4	0	77
OG0000619	52	16	1	7	1	77
OG0000620	54	17	2	3	1	77
OG0000621	18	50	0	9	0	77
OG0000622	68	6	1	0	2	77
OG0000623	53	16	1	6	1	77
OG0000624	50	9	5	12	1	77
OG0000625	10	28	1	38	0	77
OG0000626	41	13	8	14	1	77
OG0000627	59	10	2	5	1	77
OG0000628	52	16	1	7	1	77
OG0000629	64	9	1	2	1	77
OG0000630	58	7	1	10	1	77
OG0000631	46	23	1	6	1	77
OG0000632	59	7	0	10	1	77
OG0000633	58	11	2	5	1	77
OG0000634	58	8	1	10	0	77
OG0000635	64	5	4	3	1	77
OG0000636	46	20	3	7	1	77
OG0000637	62	3	3	8	1	77
OG0000638	65	7	2	2	1	77
OG0000639	69	7	0	0	1	77
OG0000640	45	3	6	21	1	76
OG0000641	60	7	3	5	1	76
OG0000642	31	22	6	16	1	76
OG0000643	68	4	1	2	1	76
OG0000644	56	10	1	8	1	76
OG0000645	54	11	2	8	1	76
OG0000646	75	0	1	0	0	76
OG0000647	34	39	1	2	0	76
OG0000648	61	8	1	5	1	76
OG0000649	76	0	0	0	0	76
OG0000650	55	10	2	9	0	76
OG0000651	66	5	0	4	1	76
OG0000652	55	14	0	7	0	76
OG0000653	2	71	2	1	0	76
OG0000654	47	1	12	16	0	76
OG0000655	75	0	1	0	0	76
OG0000656	69	3	0	2	2	76
OG0000657	56	8	3	8	1	76
OG0000658	59	7	2	7	1	76
OG0000659	52	14	2	7	1	76
OG0000660	65	6	3	2	0	76
OG0000661	58	9	3	5	1	76
OG0000662	63	6	2	3	1	75
OG0000663	58	1	2	12	2	75
OG0000664	65	4	1	4	1	75
OG0000665	58	7	5	4	1	75
OG0000666	58	10	2	4	1	75
OG0000667	73	0	1	1	0	75
OG0000668	72	0	0	2	1	75
OG0000669	43	30	1	1	0	75
OG0000670	68	4	2	0	1	75
OG0000671	53	4	7	10	1	75
OG0000672	38	34	3	0	0	75
OG0000673	66	6	0	3	0	75
OG0000674	35	22	1	17	0	75
OG0000675	62	4	0	8	1	75
OG0000676	62	9	0	3	1	75
OG0000677	32	36	0	7	0	75
OG0000678	58	9	3	4	1	75
OG0000679	48	17	2	7	1	75
OG0000680	61	8	1	4	1	75
OG0000681	3	19	0	52	1	75
OG0000682	72	0	0	3	0	75
OG0000683	60	8	1	5	1	75
OG0000684	58	5	6	5	1	75
OG0000685	60	6	2	6	1	75
OG0000686	0	75	0	0	0	75
OG0000687	31	20	7	15	1	74
OG0000688	54	9	4	6	1	74
OG0000689	60	11	1	1	1	74
OG0000690	41	19	2	11	1	74
OG0000691	47	7	1	18	1	74
OG0000692	55	9	2	7	1	74
OG0000693	51	11	1	10	1	74
OG0000694	53	18	0	3	0	74
OG0000695	54	10	1	8	1	74
OG0000696	50	13	2	6	3	74
OG0000697	56	12	1	4	1	74
OG0000698	28	29	0	17	0	74
OG0000699	55	8	1	9	1	74
OG0000700	44	15	1	13	1	74
OG0000701	61	7	1	4	1	74
OG0000702	43	20	2	8	1	74
OG0000703	61	6	2	4	1	74
OG0000704	66	3	0	4	1	74
OG0000705	58	7	3	5	1	74
OG0000706	50	12	1	10	1	74
OG0000707	54	14	2	3	1	74
OG0000708	52	2	3	16	1	74
OG0000709	62	6	1	4	1	74
OG0000710	63	4	1	5	1	74
OG0000711	53	10	4	6	1	74
OG0000712	65	7	0	0	1	73
OG0000713	54	12	3	3	1	73
OG0000714	54	10	1	6	2	73
OG0000715	53	12	2	5	1	73
OG0000716	35	18	0	19	1	73
OG0000717	54	8	1	9	1	73
OG0000718	56	1	1	14	1	73
OG0000719	65	1	5	1	1	73
OG0000720	60	7	2	3	1	73
OG0000721	57	8	2	5	1	73
OG0000722	55	0	2	15	1	73
OG0000723	34	5	33	1	0	73
OG0000724	39	29	2	3	0	73
OG0000725	11	62	0	0	0	73
OG0000726	67	4	0	2	0	73
OG0000727	42	7	3	20	1	73
OG0000728	29	31	1	10	2	73
OG0000729	51	11	4	6	1	73
OG0000730	61	4	4	3	1	73
OG0000731	32	16	1	24	0	73
OG0000732	51	10	1	10	1	73
OG0000733	48	6	6	12	1	73
OG0000734	53	12	1	6	1	73
OG0000735	55	11	3	3	1	73
OG0000736	62	1	3	6	1	73
OG0000737	59	7	2	4	1	73
OG0000738	58	7	3	4	1	73
OG0000739	45	19	3	5	1	73
OG0000740	56	10	3	3	1	73
OG0000741	50	12	3	7	1	73
OG0000742	55	9	1	7	1	73
